Classifier,Vectorizer,Validation Acc,Test Acc,Total,Total Acc,Link Flag,User Flag,Hash Flag,Numb Flag,Keyw Flag,Lctn Flag,R Links,R Users,R Hash,Unslang,Split W,Stem,R Punct,R Numb,Lower,R StpWrds,R NotAlpha,Join,Python Algo,time
,,1523.0,3263.0,4786.0,3263.0,,,,,,,,,,,,,,,,,,,,
DECISION_TREE,"TFIDF[1, 3]",0.69928,0.69292,3326.0014,0.6949438779774342,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:02:30.339556
DECISION_TREE,"COUNT[1, 3]",0.73145,0.71591,3450.01268,0.7208551358127873,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:02:57.526284
DECISION_TREE,"COUNT[1, 3]",0.73276,0.73062,3500.0065400000003,0.7313009903886336,True,False,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': False, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:10:06.133431
DECISION_TREE,"COUNT[1, 3]",0.72817,0.72449,3473.01378,0.7256610488926035,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': True, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:13:47.813943
SVM,"TFIDF[1, 1]",0.80433,0.7916,3807.98539,0.7956509381529461,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-02 00:27:47.638906
DECISION_TREE,"COUNT[1, 3]",0.74655,0.74257,3560.0015599999997,0.7438365148349352,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-02 00:29:01.044235
DECISION_TREE,"COUNT[1, 3]",0.74852,0.75421,3600.98319,0.7523993292937735,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:43:50.532645
SVM,"TFIDF[1, 1]",0.80499,0.79896,3833.00625,0.8008788654408692,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:45:45.874745
DECISION_TREE,"COUNT[1, 3]",0.74655,0.73154,3524.0106699999997,0.7363164793146677,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': False, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 00:59:34.555339
SVM,"TFIDF[1, 1]",0.80433,0.79528,3819.99323,0.7981598892603426,True,False,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': False, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 01:03:39.866297
DECISION_TREE,"COUNT[1, 3]",0.73145,0.72694,3486.00357,0.7283751713330547,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': True, 'add_keyword_flag': True, 'add_location_flag': True, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 01:03:39.902188
SVM,"TFIDF[1, 1]",0.80302,0.79681,3822.99049,0.7987861450062683,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': True, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 01:15:56.501852
SVM,"TFIDF[1, 1]",0.80433,0.7916,3807.98539,0.7956509381529461,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-02 01:28:45.908937
SVM,"TFIDF[1, 1]",0.80565,0.79222,3812.01881,0.7964936920183869,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 01:41:03.714432
SVM,"TFIDF[1, 1]",0.80236,0.79773,3824.98727,0.7992033577099875,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': False, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 01:53:19.966138
SVM,"TFIDF[1, 1]",0.80565,0.79865,3832.9999,0.8008775386544087,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': True, 'add_keyword_flag': True, 'add_location_flag': True, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 02:05:42.502938
DECISION_TREE,"TFIDF[1, 2]",0.72095,0.70702,3405.01311,0.7114528019222732,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-02 10:38:12.851166
DECISION_TREE,"TFIDF[1, 2]",0.71504,0.7012,3377.0215200000002,0.7056041621395738,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': True, 'unslang': True, 'split_words': True, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': True, 'join': True}",2020-05-02 10:41:43.447940
RIDGE,"TFIDF[1, 3]",0.80696,0.80018,3839.9874200000004,0.8023375302966987,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-01 15:07:05.519676
LOGISTIC_REGRESSION,"TFIDF[1, 3]",0.80433,0.79528,3819.99323,0.7981598892603426,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': False, 'add_user_flag': False, 'add_hash_flag': False, 'add_number_flag': False, 'add_keyword_flag': False, 'add_location_flag': False, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-01 15:07:08.919792
RIDGE,"TFIDF[1, 3]",0.79383,0.79681,3808.9941200000003,0.7958617049728375,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,False,True,"{'add_link_flag': True, 'add_user_flag': True, 'add_hash_flag': True, 'add_number_flag': True, 'add_keyword_flag': True, 'add_location_flag': True, 'remove_links': True, 'remove_users': True, 'remove_hash': False, 'unslang': True, 'split_words': False, 'stem': False, 'remove_punctuations': True, 'remove_numbers': True, 'to_lower_case': True, 'remove_stop_words': True, 'remove_not_alpha': False, 'join': True}",2020-05-01 15:07:54.085905
